rank,cluster_id,representative_pic_id,pic_ids,pic_count,total_likes,post_likes,comment_likes,post_like_source_count,comment_source_count,source_note_count,width,height,large_url,url,sample_note_url,sample_text,source_keywords,top_evidence,representative_local_path,image_name
21,vc0021,006jCwZAly1g7wgj55z2pj30u00u0tco,006jCwZAly1g7wgj55z2pj30u00u0tco,1,180,180,0,1,0,1,1080,1080,https://wx4.sinaimg.cn/mw2000/006jCwZAly1g7wgj55z2pj30u00u0tco.jpg,https://wx4.sinaimg.cn/orj360/006jCwZAly1g7wgj55z2pj30u00u0tco.jpg,https://m.weibo.cn/detail/4426909028833832,黄婷婷 我：婷婷，你酷一点 TT:好 拍完之后，说了谢谢，然后婷婷给我很甜的说了声拜拜 啊，我死了，终于和你有了第一张合照，外地粉丝不容易呀,,[single_image_post 180 strong_image_keyword] 黄婷婷 我：婷婷，你酷一点 TT:好 拍完之后，说了谢谢，然后婷婷给我很甜的说了声拜拜 啊，我死了，终于和你有了第一张合照，外地粉丝不容易呀 https://m.weibo.cn/detail/4426909028833832,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/017_006jCwZAly1g7wgj55z2pj30u00u0tco.jpg,top21_vc0021_006jCwZAly1g7wgj55z2pj30u00u0tco.jpg
22,vc0022,005URZvXgy1foyv9octjkj32b13gg7wi,005URZvXgy1foyv9octjkj32b13gg7wi,1,179,179,0,1,0,1,2048,3069,https://wx1.sinaimg.cn/mw2000/005URZvXgy1foyv9octjkj32b13gg7wi.jpg,https://wx1.sinaimg.cn/orj360/005URZvXgy1foyv9octjkj32b13gg7wi.jpg,https://m.weibo.cn/detail/4213259576285956,#黄婷婷##SNH48年度金曲大赏# 人鱼【返图3】20180203 @SNH48-黄婷婷,黄婷婷 返图,[post_ref_p3 179 strong_image_keyword] #黄婷婷##SNH48年度金曲大赏# 人鱼【返图3】20180203 @SNH48-黄婷婷 https://m.weibo.cn/detail/4213259576285956,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/018_005URZvXgy1foyv9octjkj32b13gg7wi.jpg,top22_vc0022_005URZvXgy1foyv9octjkj32b13gg7wi.jpg
24,vc0024,006zjVIaly1g5jba4aeumj31rh2js7wh,006zjVIaly1g5jba4aeumj31rh2js7wh,1,154,154,0,1,0,1,2048,2961,https://wx2.sinaimg.cn/mw2000/006zjVIaly1g5jba4aeumj31rh2js7wh.jpg,https://wx2.sinaimg.cn/orj360/006zjVIaly1g5jba4aeumj31rh2js7wh.jpg,https://m.weibo.cn/detail/4400219381183679,【总选返图】 黄婷婷 夏了夏天 学姐好 @SNH48-黄婷婷,,[single_image_post 154 strong_image_keyword] 【总选返图】 黄婷婷 夏了夏天 学姐好 @SNH48-黄婷婷 https://m.weibo.cn/detail/4400219381183679,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/020_006zjVIaly1g5jba4aeumj31rh2js7wh.jpg,top23_vc0024_006zjVIaly1g5jba4aeumj31rh2js7wh.jpg
25,vc0025,0088bHgsly1icjhwko2usj30u01917af,0088bHgsly1icjhwko2usj30u01917af,1,148,148,0,1,0,1,1080,1621,https://wx2.sinaimg.cn/mw2000/0088bHgsly1icjhwko2usj30u01917af.jpg,https://wx2.sinaimg.cn/orj360/0088bHgsly1icjhwko2usj30u01917af.jpg,https://m.weibo.cn/detail/5291747433254514,黄婷婷 原图作者@蓝蓝藻 哈哈哈哈哈婷婷是怎么做到这么美的同时还又萌又媚又莫名搞笑的,黄婷婷 粉丝,[single_image_post 148 strong_image_keyword] 黄婷婷 原图作者@蓝蓝藻 哈哈哈哈哈婷婷是怎么做到这么美的同时还又萌又媚又莫名搞笑的 https://m.weibo.cn/detail/5291747433254514,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/021_0088bHgsly1icjhwko2usj30u01917af.jpg,top24_vc0025_0088bHgsly1icjhwko2usj30u01917af.jpg
26,vc0026,006fXe6Ogy1fn1h5ft6jqj315o0rs7wh,006fXe6Ogy1fn1h5ft6jqj315o0rs7wh,1,148,148,0,1,0,1,1500,1000,https://wx2.sinaimg.cn/mw2000/006fXe6Ogy1fn1h5ft6jqj315o0rs7wh.jpg,https://wx2.sinaimg.cn/orj360/006fXe6Ogy1fn1h5ft6jqj315o0rs7wh.jpg,https://m.weibo.cn/detail/4191508011770974,#黄婷婷# #黄婷婷启航2018# 180101 虹桥机场 返图6P@SNH48-黄婷婷 站内网页链接,黄婷婷 机场,[post_ref_p6 148 strong_image_keyword] #黄婷婷# #黄婷婷启航2018# 180101 虹桥机场 返图6P@SNH48-黄婷婷 站内网页链接 https://m.weibo.cn/detail/4191508011770974,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/022_006fXe6Ogy1fn1h5ft6jqj315o0rs7wh.jpg,top25_vc0026_006fXe6Ogy1fn1h5ft6jqj315o0rs7wh.jpg
28,vc0028,656a17ebgy1g4i7ydhlnjj20u018we82,656a17ebgy1g4i7ydhlnjj20u018we82,1,144,144,0,1,0,1,1080,1616,https://wx2.sinaimg.cn/mw2000/656a17ebgy1g4i7ydhlnjj20u018we82.jpg,https://wx2.sinaimg.cn/orj360/656a17ebgy1g4i7ydhlnjj20u018we82.jpg,https://m.weibo.cn/detail/4388592165786514,我可太喜欢这张了,,[single_image_post 144 explicit_image_visual_or_memory] 我可太喜欢这张了 https://m.weibo.cn/detail/4388592165786514,data/weibo_huangtingting_image_assets/analysis_visual_cluster_10k_v1/cluster_source_images/656a17ebgy1g4i7ydhlnjj20u018we82.jpg,top26_vc0028_656a17ebgy1g4i7ydhlnjj20u018we82.jpg
29,vc0029,006CtFgugy1fcgptlbkiuj31v92iqx6q,006CtFgugy1fcgptlbkiuj31v92iqx6q,1,138,138,0,1,0,1,2048,2762,https://wx3.sinaimg.cn/mw2000/006CtFgugy1fcgptlbkiuj31v92iqx6q.jpg,https://wx3.sinaimg.cn/orj360/006CtFgugy1fcgptlbkiuj31v92iqx6q.jpg,https://m.weibo.cn/detail/4072173805684983,#SNH48黄婷婷# #黄婷婷十三亿分之你# 周一工作日，用婷婷的美图来鼓励一下自己 #SNH48黄婷婷# best50实图6p 假期有时间修图系列,黄婷婷 美图,[post_ref_p6 138 strong_image_keyword] #SNH48黄婷婷# #黄婷婷十三亿分之你# 周一工作日，用婷婷的美图来鼓励一下自己 #SNH48黄婷婷# best50实图6p 假期有时间修图系列 https://m.weibo.cn/detail/4072173805684983,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/023_006CtFgugy1fcgptlbkiuj31v92iqx6q.jpg,top27_vc0029_006CtFgugy1fcgptlbkiuj31v92iqx6q.jpg
30,vc0030,006T87D0gy1g8jx2ckgz4j30ku15odnf,006T87D0gy1g8jx2ckgz4j30ku15odnf,1,138,138,0,5,0,5,750,1500,https://wx3.sinaimg.cn/mw2000/006T87D0gy1g8jx2ckgz4j30ku15odnf.jpg,https://wx3.sinaimg.cn/orj360/006T87D0gy1g8jx2ckgz4j30ku15odnf.jpg,https://m.weibo.cn/detail/4434265582082494,#黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷 #黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷,黄婷婷 自拍,[single_image_post 138 strong_image_keyword] #黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷 https://m.weibo.cn/detail/4434262025383132 || [single_image_post 0 strong_image_keyword] #黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷 #黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷 https://m.weibo.cn/detail/4434265582082494 || [single_image_post 0 strong_image_keyword] #黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷 #黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷 https://m.weibo.cn/detail/4434265099795536 || [single_image_post 0 strong_image_keyword] #黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷 #黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷 https://m.weibo.cn/detail/4434264638361671 || [single_image_post 0 strong_image_keyword] #黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷 #黄婷婷 人间小辣椒# 你太自私了，每次你发自拍，会有多少人睡不着觉，你不在乎，有多少人饱受相思之痛，你不在乎，有多少人承受着所爱不得之苦，你不在乎，你只在乎你自己，就像我只在乎你一样自私@SNH48-黄婷婷 https://m.weibo.cn/detail/4434263997243419,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/024_006T87D0gy1g8jx2ckgz4j30ku15odnf.jpg,top28_vc0030_006T87D0gy1g8jx2ckgz4j30ku15odnf.jpg
32,vc0032,006cv1DVly1g2vh8jw7g6j31ua39tu1a,006cv1DVly1g2vh8jw7g6j31ua39tu1a,1,137,137,0,2,0,2,2048,3640,https://wx1.sinaimg.cn/mw2000/006cv1DVly1g2vh8jw7g6j31ua39tu1a.jpg,https://wx1.sinaimg.cn/orj360/006cv1DVly1g2vh8jw7g6j31ua39tu1a.jpg,https://m.weibo.cn/detail/4370180647780529,黄婷婷 🙊 #黄婷婷我家那小子# 20190509.剧场返图6p 是酷帅的崽@SNH48-黄婷婷 @咸味胡萝北- 老父亲来康康【逐渐变红🙊,黄婷婷 返图,[post_ref_p6 137 strong_image_keyword] 黄婷婷 🙊 #黄婷婷我家那小子# 20190509.剧场返图6p 是酷帅的崽@SNH48-黄婷婷 @咸味胡萝北- 老父亲来康康【逐渐变红🙊 https://m.weibo.cn/detail/4370180647780529 || [post_ref_p6 0 strong_image_keyword] #黄婷婷 返图# @SNH48-黄婷婷 黄婷婷 🙊 #黄婷婷我家那小子# 20190509.剧场返图6p 是酷帅的崽@SNH48-黄婷婷 @咸味胡萝北- 老父亲来康康【逐渐变红🙊 https://m.weibo.cn/detail/4370302102406517,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/026_006cv1DVly1g2vh8jw7g6j31ua39tu1a.jpg,top29_vc0032_006cv1DVly1g2vh8jw7g6j31ua39tu1a.jpg
33,vc0033,005URZvXgy1fp3hnqld28j32ku3veu0y,005URZvXgy1fp3hnqld28j32ku3veu0y,1,137,137,0,2,0,2,2048,3075,https://wx4.sinaimg.cn/mw2000/005URZvXgy1fp3hnqld28j32ku3veu0y.jpg,https://wx4.sinaimg.cn/orj360/005URZvXgy1fp3hnqld28j32ku3veu0y.jpg,https://m.weibo.cn/detail/4214715431059174,还有返图耶！！！！好好看！！@SNH48-黄婷婷 #黄婷婷##SNH48年度金曲大赏# Mad World 【返图3】 20180203 @SNH48-黄婷婷 穿着颜色鲜艳的华丽的衣服。那个颜色很适合你!!!,黄婷婷 返图,[post_ref_p3 137 strong_image_keyword] #黄婷婷##SNH48年度金曲大赏# Mad World 【返图3】 20180203 @SNH48-黄婷婷 穿着颜色鲜艳的华丽的衣服。那个颜色很适合你!!! https://m.weibo.cn/detail/4214710129892596 || [post_ref_p3 0 strong_image_keyword] 还有返图耶！！！！好好看！！@SNH48-黄婷婷 #黄婷婷##SNH48年度金曲大赏# Mad World 【返图3】 20180203 @SNH48-黄婷婷 穿着颜色鲜艳的华丽的衣服。那个颜色很适合你!!! https://m.weibo.cn/detail/4214715431059174,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/027_005URZvXgy1fp3hnqld28j32ku3veu0y.jpg,top30_vc0033_005URZvXgy1fp3hnqld28j32ku3veu0y.jpg
34,vc0034,832e07d0gy1fv58g8jqf5j216m1k5x6p,832e07d0gy1fv58g8jqf5j216m1k5x6p,1,134,134,0,1,0,1,1534,2021,https://wx4.sinaimg.cn/mw2000/832e07d0gy1fv58g8jqf5j216m1k5x6p.jpg,https://wx4.sinaimg.cn/orj360/832e07d0gy1fv58g8jqf5j216m1k5x6p.jpg,https://m.weibo.cn/detail/4283026273482340,黄婷婷❤️#时尚教主黄婷婷# 黄婷婷生日会港风限定生写高清扫图9P 我想醉在你的眼里， 就此无尽沉沦下去。#可爱女人[音乐]# @SNH48-黄婷婷,黄婷婷 高清,[post_ref_p9 134 explicit_image_visual_or_memory] 黄婷婷❤️#时尚教主黄婷婷# 黄婷婷生日会港风限定生写高清扫图9P 我想醉在你的眼里， 就此无尽沉沦下去。#可爱女人[音乐]# @SNH48-黄婷婷 https://m.weibo.cn/detail/4283026273482340,data/weibo_huangtingting_image_assets/analysis_visual_cluster_quality_all/cluster_source_images/832e07d0gy1fv58g8jqf5j216m1k5x6p.jpg,top31_vc0034_832e07d0gy1fv58g8jqf5j216m1k5x6p.jpg
35,vc0035,005URZvXgy1g5hqlw5xvfj32tc480e82,005URZvXgy1g5hqlw5xvfj32tc480e82,1,129,129,0,1,0,1,2048,3072,https://wx1.sinaimg.cn/mw2000/005URZvXgy1g5hqlw5xvfj32tc480e82.jpg,https://wx1.sinaimg.cn/orj360/005URZvXgy1g5hqlw5xvfj32tc480e82.jpg,https://m.weibo.cn/detail/4399725895344333,黄婷婷 190727 演唱会 返图3 #SNH48年度总决选##黄婷婷#,,[post_ref_p3 129 strong_image_keyword] 黄婷婷 190727 演唱会 返图3 #SNH48年度总决选##黄婷婷# https://m.weibo.cn/detail/4399725895344333,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/028_005URZvXgy1g5hqlw5xvfj32tc480e82.jpg,top32_vc0035_005URZvXgy1g5hqlw5xvfj32tc480e82.jpg
36,vc0036,005URZvXgy1fou865fcpqj32b03gge82,005URZvXgy1fou865fcpqj32b03gge82,1,125,125,0,1,0,1,2048,3070,https://wx2.sinaimg.cn/mw2000/005URZvXgy1fou865fcpqj32b03gge82.jpg,https://wx2.sinaimg.cn/orj360/005URZvXgy1fou865fcpqj32b03gge82.jpg,https://m.weibo.cn/detail/4211804504713797,#黄婷婷##SNH48年度金曲大赏# 20180203【返图2】 @SNH48-黄婷婷,黄婷婷 返图,[post_ref_p2 125 strong_image_keyword] #黄婷婷##SNH48年度金曲大赏# 20180203【返图2】 @SNH48-黄婷婷 https://m.weibo.cn/detail/4211804504713797,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/029_005URZvXgy1fou865fcpqj32b03gge82.jpg,top33_vc0036_005URZvXgy1fou865fcpqj32b03gge82.jpg
37,vc0037,007Xg5Tsly1i78q740ml3j30jg0objuj,007Xg5Tsly1i78q740ml3j30jg0objuj,1,122,122,0,1,0,1,700,875,https://wx2.sinaimg.cn/mw2000/007Xg5Tsly1i78q740ml3j30jg0objuj.jpg,https://wx2.sinaimg.cn/orj360/007Xg5Tsly1i78q740ml3j30jg0objuj.jpg,https://m.weibo.cn/detail/5231949386091995,黄婷婷 考古看到这张笑了半天… 咋那么萌一只杵在那！！🥺😋,,[single_image_post 122 explicit_image_visual_or_memory] 黄婷婷 考古看到这张笑了半天… 咋那么萌一只杵在那！！🥺😋 https://m.weibo.cn/detail/5231949386091995,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/030_007Xg5Tsly1i78q740ml3j30jg0objuj.jpg,top34_vc0037_007Xg5Tsly1i78q740ml3j30jg0objuj.jpg
38,vc0038,0062vQZIly1hbi42rcelbj32c03401gx,0062vQZIly1hbi42rcelbj32c03401gx,1,121,121,0,1,0,1,2048,2730,https://wx2.sinaimg.cn/mw2000/0062vQZIly1hbi42rcelbj32c03401gx.jpg,https://wx2.sinaimg.cn/orj360/0062vQZIly1hbi42rcelbj32c03401gx.jpg,https://m.weibo.cn/detail/4873789287174025,黄婷婷 原图直出美死了@黄婷婷,黄婷婷 神图,[single_image_post 121 strong_image_keyword] 黄婷婷 原图直出美死了@黄婷婷 https://m.weibo.cn/detail/4873789287174025,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/031_0062vQZIly1hbi42rcelbj32c03401gx.jpg,top35_vc0038_0062vQZIly1hbi42rcelbj32c03401gx.jpg
40,vc0040,005URZvXgy1foqsdrlm5kj31vv2tqe81,005URZvXgy1foqsdrlm5kj31vv2tqe81,1,121,121,0,1,0,1,2048,3069,https://wx3.sinaimg.cn/mw2000/005URZvXgy1foqsdrlm5kj31vv2tqe81.jpg,https://wx3.sinaimg.cn/orj360/005URZvXgy1foqsdrlm5kj31vv2tqe81.jpg,https://m.weibo.cn/detail/4210727130257990,#黄婷婷##SNH48年度金曲大赏# 暴走少女 【返图2】 20180203 @SNH48-黄婷婷,黄婷婷 返图,[post_ref_p2 121 strong_image_keyword] #黄婷婷##SNH48年度金曲大赏# 暴走少女 【返图2】 20180203 @SNH48-黄婷婷 https://m.weibo.cn/detail/4210727130257990,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/033_005URZvXgy1foqsdrlm5kj31vv2tqe81.jpg,top36_vc0040_005URZvXgy1foqsdrlm5kj31vv2tqe81.jpg
41,vc0041,005URZvXgy1g2aeixekbhj356o3ggkjm,005URZvXgy1g2aeixekbhj356o3ggkjm,1,120,120,0,1,0,1,2048,1365,https://wx1.sinaimg.cn/mw2000/005URZvXgy1g2aeixekbhj356o3ggkjm.jpg,https://wx1.sinaimg.cn/orj360/005URZvXgy1g2aeixekbhj356o3ggkjm.jpg,https://m.weibo.cn/detail/4363573008024814,190413 偶像运动会 返图3 笑颜一番黄婷婷 @SNH48-黄婷婷 #SNH48偶像运动会#,,[post_ref_p3 120 strong_image_keyword] 190413 偶像运动会 返图3 笑颜一番黄婷婷 @SNH48-黄婷婷 #SNH48偶像运动会# https://m.weibo.cn/detail/4363573008024814,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/035_005URZvXgy1g2aeixekbhj356o3ggkjm.jpg,top37_vc0041_005URZvXgy1g2aeixekbhj356o3ggkjm.jpg
42,vc0042,006eGjJlly1g91chyke6uj313y1o0npd,006eGjJlly1g91chyke6uj313y1o0npd,1,118,118,0,1,0,1,1438,2160,https://wx1.sinaimg.cn/mw2000/006eGjJlly1g91chyke6uj313y1o0npd.jpg,https://wx1.sinaimg.cn/orj360/006eGjJlly1g91chyke6uj313y1o0npd.jpg,https://m.weibo.cn/detail/4439725148409753,黄婷婷#一生有你黄婷婷# 电影一生有你#电影一生有你# 【控评图】 “可知一生有你 我都陪在你身边” 原图感谢@时汀- 授权 @SNH48-黄婷婷 @titi黄,,[single_image_post 118 strong_image_keyword] 黄婷婷#一生有你黄婷婷# 电影一生有你#电影一生有你# 【控评图】 “可知一生有你 我都陪在你身边” 原图感谢@时汀- 授权 @SNH48-黄婷婷 @titi黄 https://m.weibo.cn/detail/4439725148409753,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/036_006eGjJlly1g91chyke6uj313y1o0npd.jpg,top38_vc0042_006eGjJlly1g91chyke6uj313y1o0npd.jpg
43,vc0043,007vgUDQly1gdrfsnogunj316o16mdpq,007vgUDQly1gdrfsnogunj316o16mdpq,1,110,110,0,1,0,1,1536,1534,https://wx3.sinaimg.cn/mw2000/007vgUDQly1gdrfsnogunj316o16mdpq.jpg,https://wx3.sinaimg.cn/orj360/007vgUDQly1gdrfsnogunj316o16mdpq.jpg,https://m.weibo.cn/detail/4493041912071852,黄婷婷 #黄婷婷营业了同款博也要营业# @titi黄_ 2020.04.12 微博头像更新 耳环｜拍摄《夏日柠檬船》mv时，澳洲手工店购入 耳环破案了#耳环富人黄婷婷#,黄婷婷 头像,[single_image_post 110 strong_image_keyword] 黄婷婷 #黄婷婷营业了同款博也要营业# @titi黄_ 2020.04.12 微博头像更新 耳环｜拍摄《夏日柠檬船》mv时，澳洲手工店购入 耳环破案了#耳环富人黄婷婷# https://m.weibo.cn/detail/4493041912071852,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/038_007vgUDQly1gdrfsnogunj316o16mdpq.jpg,top39_vc0043_007vgUDQly1gdrfsnogunj316o16mdpq.jpg
44,vc0044,008sEjjxly1iccjigqvw0j31i0200tuj,008sEjjxly1iccjigqvw0j31i0200tuj,1,109,109,0,2,0,2,1944,2592,https://wx3.sinaimg.cn/mw2000/008sEjjxly1iccjigqvw0j31i0200tuj.jpg,https://wx3.sinaimg.cn/orj360/008sEjjxly1iccjigqvw0j31i0200tuj.jpg,https://m.weibo.cn/detail/5289567399187851,黄婷婷 🐱#黄婷婷无限超越班# 🎬待播安利图一则 @黄婷婷 专栏 · 低空飞行,黄婷婷 粉丝,[single_image_post 109 strong_image_keyword] 黄婷婷 🐱#黄婷婷无限超越班# 🎬待播安利图一则 @黄婷婷 专栏 · 低空飞行 https://m.weibo.cn/detail/5289567399187851 || [single_image_post 0 strong_image_keyword] 黄婷婷#黄婷婷无限超越班# #黄婷婷# 貌美之！ 黄婷婷 🐱#黄婷婷无限超越班# 🎬待播安利图一则 @黄婷婷 专栏 · 低空飞行 https://m.weibo.cn/detail/5289761969277570,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/039_008sEjjxly1iccjigqvw0j31i0200tuj.jpg,top40_vc0044_008sEjjxly1iccjigqvw0j31i0200tuj.jpg
45,vc0045,006VsGMigy1g1wnnreal9j30qy0nkaxl,006VsGMigy1g1wnnreal9j30qy0nkaxl,1,109,109,0,1,0,1,970,848,https://wx3.sinaimg.cn/mw2000/006VsGMigy1g1wnnreal9j30qy0nkaxl.jpg,https://wx3.sinaimg.cn/orj360/006VsGMigy1g1wnnreal9j30qy0nkaxl.jpg,https://m.weibo.cn/detail/4359263969290586,黄婷婷HTT48 无聊摸的头像 黄少侠：这……这是给你的礼物 转评赞超过10解锁下一个！猜猜会是谁呢～,,[single_image_post 109 strong_image_keyword] 黄婷婷HTT48 无聊摸的头像 黄少侠：这……这是给你的礼物 转评赞超过10解锁下一个！猜猜会是谁呢～ https://m.weibo.cn/detail/4359263969290586,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/040_006VsGMigy1g1wnnreal9j30qy0nkaxl.jpg,top41_vc0045_006VsGMigy1g1wnnreal9j30qy0nkaxl.jpg
46,vc0046,007dfxdogy1gd1dfhwbc6j30yr1ps4qp,007dfxdogy1gd1dfhwbc6j30yr1ps4qp,1,108,108,0,1,0,1,1251,2224,https://wx4.sinaimg.cn/mw2000/007dfxdogy1gd1dfhwbc6j30yr1ps4qp.jpg,https://wx4.sinaimg.cn/orj360/007dfxdogy1gd1dfhwbc6j30yr1ps4qp.jpg,https://m.weibo.cn/detail/4484871386867781,黄婷婷#黄婷婷今天也要开心鸭##黄婷婷 你在哪我们在哪# 据说踢踢崽喜欢蓝色 所以给亲爱的阿黄做了一张蓝色系拼贴壁纸 （第二次做 请hxt轻喷） 温柔的蓝色是婷婷本身,,[single_image_post 108 strong_image_keyword] 黄婷婷#黄婷婷今天也要开心鸭##黄婷婷 你在哪我们在哪# 据说踢踢崽喜欢蓝色 所以给亲爱的阿黄做了一张蓝色系拼贴壁纸 （第二次做 请hxt轻喷） 温柔的蓝色是婷婷本身 https://m.weibo.cn/detail/4484871386867781,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/041_007dfxdogy1gd1dfhwbc6j30yr1ps4qp.jpg,top42_vc0046_007dfxdogy1gd1dfhwbc6j30yr1ps4qp.jpg
47,vc0047,be33c22cly1gmmzbqnhjbj20s817rgxm,be33c22cly1gmmzbqnhjbj20s817rgxm,1,107,107,0,1,0,1,1016,1575,https://wx1.sinaimg.cn/mw2000/be33c22cly1gmmzbqnhjbj20s817rgxm.jpg,https://wx1.sinaimg.cn/orj360/be33c22cly1gmmzbqnhjbj20s817rgxm.jpg,https://m.weibo.cn/detail/4593204677314833,黄婷婷最近工作需要，找到了一张姐姐美图，分享出来，取图dd,黄婷婷 美图,[single_image_post 107 strong_image_keyword] 黄婷婷最近工作需要，找到了一张姐姐美图，分享出来，取图dd https://m.weibo.cn/detail/4593204677314833,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/042_be33c22cly1gmmzbqnhjbj20s817rgxm.jpg,top43_vc0047_be33c22cly1gmmzbqnhjbj20s817rgxm.jpg
48,vc0048,005ttkF7ly1ibmz1kdpbzj30zb0rb7ck,005ttkF7ly1ibmz1kdpbzj30zb0rb7ck,1,107,107,0,1,0,1,1271,983,https://wx1.sinaimg.cn/mw2000/005ttkF7ly1ibmz1kdpbzj30zb0rb7ck.jpg,https://wx1.sinaimg.cn/orj360/005ttkF7ly1ibmz1kdpbzj30zb0rb7ck.jpg,https://m.weibo.cn/detail/5281552599620178,黄婷婷 / #黄婷婷无限超越班# 拍立得修复 - 很美的上镜脸 大家多多去优酷视频支持新综艺吧～ @黄婷婷 @无限超越班,,[single_image_post 107 strong_image_keyword] 黄婷婷 / #黄婷婷无限超越班# 拍立得修复 - 很美的上镜脸 大家多多去优酷视频支持新综艺吧～ @黄婷婷 @无限超越班 https://m.weibo.cn/detail/5281552599620178,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/043_005ttkF7ly1ibmz1kdpbzj30zb0rb7ck.jpg,top44_vc0048_005ttkF7ly1ibmz1kdpbzj30zb0rb7ck.jpg
49,vc0049,e9ca508dly1g2vzuciz1aj23gg56oqv9,e9ca508dly1g2vzuciz1aj23gg56oqv9,1,98,98,0,1,0,1,2048,3072,https://wx1.sinaimg.cn/mw2000/e9ca508dly1g2vzuciz1aj23gg56oqv9.jpg,https://wx1.sinaimg.cn/orj360/e9ca508dly1g2vzuciz1aj23gg56oqv9.jpg,https://m.weibo.cn/detail/4370173362334951,黄婷婷 「2019.5.9剧场下班」 帅哥下班惹@SNH48-黄婷婷 （非常感谢牙刷聚聚@一只牙刷 返图 编辑了高清）,黄婷婷 高清,[single_image_post 98 strong_image_keyword] 黄婷婷 「2019.5.9剧场下班」 帅哥下班惹@SNH48-黄婷婷 （非常感谢牙刷聚聚@一只牙刷 返图 编辑了高清） https://m.weibo.cn/detail/4370173362334951,data/weibo_huangtingting_image_assets/analysis_strict_memory_final/top_images/files/044_e9ca508dly1g2vzuciz1aj23gg56oqv9.jpg,top45_vc0049_e9ca508dly1g2vzuciz1aj23gg56oqv9.jpg
