memory_point,total_likes,post_likes,comment_likes,post_count,comment_count,top_samples
时尚芭莎/VOGUE封面群像,441129,331706,109423,43,41,[post 124160] #迪丽热巴时尚芭莎开年刊##迪丽热巴迪奥开年首封#这是@Dear-迪丽热巴 与《时尚芭莎》的第七次单人封面合作。时间在此刻折叠，迪丽热巴身穿2026年春夏最新Dior成衣系列，与这所经典时装屋所代表的优雅摩登的时装精神重合于同一道光束下，她的成长轨迹亦如全新@DIOR迪奥 的蜕变——进取、柔韧、突破。 ...全文 https://m.weibo.cn/detail/5249492477284053 || [post 102140] #迪丽热巴时尚芭莎开年刊# 对于@Dear-迪丽热巴 而言，真正的进取，从来都是一场精准的奔赴。于她而言，成长从不是刻意的转身，而是带着清醒，步步向光而行。她恰似惊涛之上掌舵的船长，不被浪潮裹挟，只锚定远方的航向。在风浪里沉淀自我，于航行中更新羽翼。克制里藏着极致的热爱，严谨中透着诗意的从 ...全文 https://m.weibo.cn/detail/5249494993078702 || [post 24612] #VOGUE二十周年女演员群像封面##VOGUE二十周年多元之美大片# 延续十周年的传统，VOGUE在二十周年之际，再次以群像回应“当下”的命题——@宋佳、@辛芷蕾、@张小斐0110、@马思纯、@李庚希Teresa、@演员文淇、@张子枫、@Dear-迪丽热巴、@倪妮V、@杨幂、@刘亦菲 共同完成这一次意义非凡的集体创作。 摄 ...全文 https://m.weibo.cn/detail/5214125305105808 || [post 14540] #迪丽热巴 西方油画里的女人#迪丽热巴解锁《服饰与美容VOGUE》二十周年刊，这份与顶奢杂志的双向奔赴也太有分量了！好像每一次拍迪丽热巴都能把她拍成西方油画里的女人。她眼中VOGUE是“记录时代风格的载体”，更期待用镜头呈现 “沉淀后的绽放”，一句 “美是流动的生命力”，精准戳中她身上鲜活又坚 ...全文 https://m.weibo.cn/detail/5207498235581052 || [post 11715] 其实真的没必要炫耀的（幸福巴月版）真的没必要在网上炫耀就好像迪丽热巴90花首位上五大芭莎金九，我也不想讲迪丽热巴两个新代言，三个线下活动，杀青物料和新戏开机物料，所以能过幸福巴月这件事真的没必要天天提，其实不是我想提幸福巴月，这件事毕竟爱丽丝都过过幸福巴月，反正我已经过过幸福巴月了 ...全文 https://m.weibo.cn/detail/5064521913209900
虽然不能同时拥有一切/新剧期待,346357,308254,38103,74,15,"[post 201871] #虽然不能同时拥有一切首发预告# 双生交汇版预告来袭。当一个人拥有可以同时选择两种生活的机会，是体验的新鲜更占上风？还是逃离的迷惘提前到来？虽然不能同时拥有一切，但可以活出你想要的人生。#2026爱奇艺世界大会# #2026爱奇艺造梦片单# 领衔主演：@Dear-迪丽热巴 领衔主演：@Edward陳昊森 ...全文 https://m.weibo.cn/detail/5289725082733212 || [post 34636] #爱奇艺世界大会全明星应援# 桃厂新角色报到！@Dear-迪丽热巴 @Edward陳昊森 在线打call 想知道拥有双面人生的卫蓝与双面性格的何见在《虽然不能同时拥有一切》中有哪些精彩的故事吗？持续锁定#2026爱奇艺世界大会# ！ 爱奇艺的微博视频 https://m.weibo.cn/detail/5289377796460765 || [comment 14757] 好像某个时间点，我们都在羡慕别人的人生,向往自由，羡慕热烈，想要安稳……卫蓝的AB面，是每个女人内心的拉扯，也是关于自我救赎的成长过程，一起期待@Dear-迪丽热巴 在@迷你剧虽然不能同时拥有一切 中饰演的双面卫蓝会有怎样的女性力量。 https://m.weibo.cn/detail/5289725082733212 || [post 8134] #虽然不能同时拥有一切# 迪丽热巴《虽然不能同时拥有一切》首发预告#2026爱奇艺世界大会# 花生小生花的微博视频 https://m.weibo.cn/detail/5289724446770900 || [post 6749] #迪丽热巴用腿刹车# 迪丽热巴#虽然不能同时拥有一切# 仙品路透，用腿刹车，美萌今天的卫蓝完全是女大，梦回关小迪 https://m.weibo.cn/detail/5228603169047618"
迪拜滞留/报平安/缺席时装周,278303,190166,88137,155,76,[comment 38612] 等待，一直在，迪迪健康平安就好 https://m.weibo.cn/detail/5272383340413162 || [post 26970] 爱丽丝接机一直在喊“迪丽热巴，平安喜乐” 看的我都要哭了，好汹涌的爱意其实热巴坐在车里开窗的时候，就已经泪影婆娑了🥹她什么都知道#热巴好汹涌的爱意# https://m.weibo.cn/detail/5278306905883732 || [post 19605] 李佳念 迪丽热巴请你平安 李佳念的发文，让不少人又开始担心起了迪丽热巴，目前迪丽热巴本人并没有报平安。 热巴已经在迪拜被困了四天，而她团队已经直飞到了巴黎，真的太过荒谬，真正参加大秀的艺人，独自转机，其他团队辅助人员反而都是直飞到巴黎。热巴现在已经不是能不能参加大秀的问题，是怎么 ...全文 https://m.weibo.cn/detail/5272639673205876 || [post 18570] 从第一波爆料出现后到现在，我知道其实我们所有人都处在担忧和焦虑之中。 在此情况下，大家能以最大的耐心和体贴，在没有任何官方声音的情况下，全体自发选择对她最佳的方式；能在这无回应的近20小时里集体按下担忧、坚持控好舆情，为她守好大后方，直到今天报平安—— 爱丽丝们真的都非常了不起。是最 ...全文 https://m.weibo.cn/detail/5272395050912212 || [post 17864] 【#迪丽热巴对接发文报平安#】#迪丽热巴对接称已在安全区域# 3月3日，迪丽热巴对接转发工作室微博，并发文热巴已在安全区域，请大家放心。此前工作室发文迪丽热巴因不可抗力影响，无法抵达巴黎，将缺席大秀。#迪丽热巴将缺席时装周# #迪丽热巴 滞留迪拜# https://m.weibo.cn/detail/5272393920546624
嘻嘻迪/可爱搞笑表情包记忆,270228,238053,32175,48,90,[post 95988] 迪丽热巴 真奇怪，开了防沉迷系统，还是会为姐姐@Dear-迪丽热巴 着迷#嘻嘻迪# https://m.weibo.cn/detail/5285783737210382 || [post 25439] 迪丽热巴 迪丽热巴演近视人的痛苦日常 迪丽热巴：诶？那老头游到前面了 秦岚：那不是浮漂吗？ 弹幕都那在那哈哈哈哈哈哈哈哈哈哈哈狂笑😭而这是我们近视人的日常经常会闹的笑话😭😭 #迪丽热巴 迪士尼公主行为#😭 当红炸子鸡小陈的微博视频 https://m.weibo.cn/detail/4978882325776219 || [post 18354] 迪丽热巴：差点咬着我的后槽牙哈哈哈哈哈哈哈哈 #花儿与少年# 圈热议的微博视频 https://m.weibo.cn/detail/4980676061299668 || [post 13767] #迪丽热巴 黄景瑜# 玩梗迪丽热巴“她超爱”的人手写道歉信了，超能摄影阳阳说自己是凭“第七感”….事情开始往一场闹剧发展了 #迪丽热巴猫人直播# https://m.weibo.cn/detail/4867516964537219 || [post 11825] 这些公共真的好牛啊 #迪丽热巴#赵丽颖#詹妮弗劳伦斯#公关#追星 xc搞笑视频的微博视频 https://m.weibo.cn/detail/5208708942662294
花儿与少年/你好星期六/综艺片刻,250204,242502,7702,87,28,[post 53011] 张凌赫的反应太好笑了🤣 知道迪丽热巴白宇不来录制开推4了，第一反应是不相信！假的！到时候都会来的 只有工作人员当着他面说才会相信严谨的boy不信任何网传信息 #张凌赫知道热巴白宇退出开推的反应##开始推理吧# 鸡蛋仔嘎嘣脆的微博视频 https://m.weibo.cn/detail/5279944909523374 || [post 39889] 迪丽热巴：一些当年就好奇的问题在六七年后突然窜入脑海 #花儿与少年# #迪丽热巴花儿与少年##迪丽热巴 当年好奇的问题突然窜入脑海# 雪碧三分饱的微博视频 https://m.weibo.cn/detail/4960761240617504 || [post 23932] 迪丽热巴 | #花儿与少年丝路季# 迪丽热巴这是什么迪士尼公主行为啊 真的很喜欢和摄像机聊天，明明只是点头摇头，热巴却说：“他好乖啊 啥都说” 这不就是公主的能力吗，可以和万物对话，你说摄像机可爱殊不知在我们眼里你也很可爱啊！ 综艺少女的日常的微博视频 https://m.weibo.cn/detail/4978824249083389 || [post 17421] #迪丽热巴送给我的呦#《花儿与少年》赵昭仪炫耀迪丽热巴送的礼物，这句“迪丽热巴送给我的呦”酸的我后槽牙都碎了，赵昭仪你是来花少追星的吧！爱丽丝实名羡慕了 圈内一把手的微博视频 https://m.weibo.cn/detail/4968715307977664 || [post 14417] #迪丽热巴刘耀文大屏# 爱奇艺在2026年世界大会官宣的新综艺《玫瑰与骑士》拟邀迪丽热巴与刘耀文担任核心嘉宾，主打“户外游戏×轻推理”的治愈冒险模式。大屏上的迪丽热巴和刘耀文怎么看怎么养眼🥰 期待官宣 #玫瑰与骑士##春日心动放映季# 娱乐扒皮的微博视频 https://m.weibo.cn/detail/5289849665882658
行走的油画/神女美貌出圈,226448,183670,42778,31,28,[post 79423] #迪丽热巴 行走的油画# 对行走的油画有了概念💘 迪丽热巴，美得很直接 #ip风向标# #微博之夜# 我的追星大号的微博视频 https://m.weibo.cn/detail/4990207487120582 || [post 32795] 迪丽热巴 美神，祝愚人节快乐！ #愚人节站姐团建# https://m.weibo.cn/detail/5282916248322430 || [post 31294] 迪丽热巴 从油画里走出来的神女💧🕰️🪞 #迪丽热巴 从油画里走出来的神女# https://m.weibo.cn/detail/5069150747104104 || [comment 19080] 宝宝美神降临✨美丽优雅的小公主🩵 https://m.weibo.cn/detail/5292681355331545 || [post 11777] 迪丽热巴 #王亚飞 迪丽热巴# 先来欣赏下美神手机怼脸@Dear-迪丽热巴 📷稍后 🈲搬运 #33岁迪丽热巴状态# 美丽脸蛋专属剧粉的微博视频 https://m.weibo.cn/detail/5292678566382222
机场路透与日常片刻,205608,192692,12916,54,9,[post 59517] 迪丽热巴接机演练。好多人啊，厉害了我的喀什 不灭幽灵的微博视频 https://m.weibo.cn/detail/4993014231466612 || [post 31676] #迪丽热巴# 回京后独自去做美容，随后在商场逛了一圈就乘车回去了，其实私下身为顶流的她出门经常都是一个人啊！ 刘一朵娱乐现场的微博视频 https://m.weibo.cn/detail/5288627192204676 || [post 13701] 名打卡点+1！colorkey珂拉琪全球代言人迪丽热巴在上海虹桥机场的大屏已亮相！ 各位爱丽丝，如果你偶遇热巴了，记得@colorkey珂拉琪，小编会认真欣赏并随机送出神秘好礼哟！#迪丽热巴珂拉琪全球代言# #美出多面 热力全开# colorkey珂拉琪的微博视频 https://m.weibo.cn/detail/4642889622361161 || [post 12643] #迪丽热巴回京后独自去做美容#说的太对了，你们不觉得你们一直跟着一个女生你们很可怕吗？迪丽热巴一直以来就都是一个生活很干净无瑕的人，别去打扰别人私生活好嘛，让热巴一个人安静独处玩耍 https://m.weibo.cn/detail/5288673371492024 || [post 12403] #迪丽热巴腿部肌肉线条# 迪丽热巴北京飞上海机场路透，迪迪腿部肌肉线条好绝 期待今晚 #迪丽热巴直播# （视频cr：logo） 星姐微博的微博视频 https://m.weibo.cn/detail/5291532082479254
陆地CP争议与网暴记忆,205192,189360,15832,84,50,[post 24717] #陆地cp#这是对迪丽热巴一场巨大的网暴，有🧊就去医院，别来招惹单身无辜女艺人，放过兢兢业业努力工作的迪丽热巴。 https://m.weibo.cn/detail/5290795670177480 || [post 24562] #陆地cp# t，鹿晗迪丽热巴两家粉丝澄清，17年的时候鹿晗和迪丽热巴都明确表示过自己是单身，你们觉得哪一家的声明更有说服力？ https://m.weibo.cn/detail/5290854145328674 || [post 17086] u1s1鹿晗前段时间最低谷都没翻炒过陆地cp…..真要回血那会不是更需要吗……反倒是现在有人一播完剧就开始了……. 热巴铁血唯粉剪刀手都开始剪陆地了……但我没看过任何一个鹿晗粉丝主动提的….翻炒就翻炒甩锅就没意思了…… #陆地cp# https://m.weibo.cn/detail/5290821344559409 || [post 15885] 【律师称：#反复造谣迪丽热巴已违法#】4月23日，话题“陆地CP”登上热搜，引发热议。#迪丽热巴被多次造谣法律底线不容挑战# 2017年《奔跑吧》@M鹿M @Dear-迪丽热巴 二人互动通过剪辑塑造“甜蜜感”，但在录制期间，鹿晗工作室多次发文强调“拒绝炒作”；迪丽热巴方亦通过微博文案（如“单身女子的清香 ...全文 https://m.weibo.cn/detail/5290821645767595 || [post 14770] #陆地cp# 新粉宝宝们，我们家不爱宣传苦痛，但是我们需要记住发生过什么。 https://m.weibo.cn/detail/5290814261168152
任安乐与安乐传记忆,184457,113723,70734,23,36,[post 95979] #宠爱剧场520高甜上分# #优酷CP的氛围感藏不住了# 心动模式已开启~酷酷子被@Dear-迪丽热巴 @龚俊Simon 的捧脸pose一整个甜晕嘞！ 氛围感都要溢出屏幕啦 这个520，这份宠爱氛围够吗~#安乐传# https://m.weibo.cn/detail/4771132949135863 || [comment 7261] 电视剧安乐传 看尽天下风华 仍是当年月下。一夜半白头，不过二十韶华。且看任安乐@Dear-迪丽热巴 如何一展芳华 https://m.weibo.cn/detail/4771132949135863 || [comment 7047] 任安乐我是你的压寨夫人 520快乐@Dear-迪丽热巴 电视剧安乐传 https://m.weibo.cn/detail/4771132949135863 || [comment 6549] 电视剧安乐传胸怀家国，兼济天下，君重不如国，国重不如民，💕期待@Dear-迪丽热巴 演绎的任安乐💕 https://m.weibo.cn/detail/4771132949135863 || [comment 6308] 电视剧安乐传 和既可在疆场展翅；亦可在朝堂翱翔的任安乐一起过520咯！期待与我们智勇双全的任安乐早日相见@Dear-迪丽热巴！ https://m.weibo.cn/detail/4771132949135863
演员实绩与90花讨论,142167,137183,4984,44,14,[post 28720] 迪丽热巴是不是90🌸&90后🌸第一个(2017年)&唯一的有一番影视剧双破亿(一番云合集均破亿&一番票房破亿)的演员 https://m.weibo.cn/detail/5290969217897380 || [post 16444] 同一导演镜头下两位90花状态 白日提灯:迪丽热巴 长相思:杨紫 你们觉得谁状态好（ps都是拿的粉丝自己发的图） https://m.weibo.cn/detail/5281504322130625 || [post 11201] 90花杨紫迪丽热巴今日发布最新新剧预告同平台对打谁让你有想看的冲动 https://m.weibo.cn/detail/5289736348635862 || [post 10740] 客观说说哈，粉丝之间咋样是粉丝的事儿，感觉迪丽热巴和杨紫，她们本人对对方应该是惺惺相惜的。女演员本来就不容易。 优秀的女性一定会欣赏优秀的女性。 其实巴紫作为90花为数不多的代表，真的做得很好了，一直兢兢业业，谨言慎行，从未行差踏错。 反正我从来没听过她们本人说过什么不合时宜没有分寸 ...全文 https://m.weibo.cn/detail/5288316033305631 || [post 9768] #杨紫迪丽热巴同款公主头造型# 只是美女央视春晚彩排路透罢了，今天上午也刚官宣了湖南卫视跨年 杨紫自己也刚结束电影拍摄已进组拍剧连轴转，紫粉也忙到处跑美美等电视上看杨紫 不要太关注有作品有大爆剧实绩人美心善宠粉的单身事业心女明星杨紫啦 实在忍不住关注美女热度的话可以腾讯视频《长 ...全文 https://m.weibo.cn/detail/4851389690291892
利剑玫瑰/央八重播记忆,140668,117741,22927,94,58,[post 34859] #迪丽热巴利剑玫瑰央8重播#【转发分享！#五一假期追剧清单#】这份假期“电子榨菜”清单请查收↓↓这个假期，愿你放松心情，收获快乐！ 《利剑玫瑰》@Dear-迪丽热巴 @金世佳 《风与潮》@任嘉伦Allen @蓝盈莹Lyric 《太平年》@白宇WHITE @周雨彤微博 @朱亚文 @俞灏明 《六姊 ...全文 https://m.weibo.cn/detail/5293485055022699 || [post 12226] #利剑玫瑰扛起剧集社会责任# 微博视界大会年度剧集推荐，我给迪丽热巴主演的《利剑玫瑰》投上一票。 每个行业、每个从业者都肩负着不同的社会责任，由于影视行业天生自带的聚光灯效应，影视作品存在的意义绝不仅仅是给观众提供娱乐消遣的作品，不仅仅是创造了多高的收视率，更重要的是有没 ...全文 https://m.weibo.cn/detail/5223400014349717 || [post 11014] #浙江卫视重播利剑玫瑰##来浙江卫视N刷利剑玫瑰# 浙江卫视白天下午档正在播出@Dear-迪丽热巴 《利剑·玫瑰》！ https://m.weibo.cn/detail/5290129767796127 || [post 10640] 迪丽热巴《利剑玫瑰》又又又上星啦，品质好剧就是越品越醇，支持利剑玫瑰获奖，支持迪丽热巴获奖 https://m.weibo.cn/detail/5290177838974005 || [post 8564] #央视剧评#【《利剑·玫瑰》：深探打拐一线 剑护玫瑰团圆】剧中打拐民警没有“超级英雄”光环，“打拐铁三角”中的三位警察各有特点。当邓妍 @Dear-迪丽热巴 对被拐女孩郑薇薇 @胡茜茜HQQ 说“找回身体只是第一步，找回生活才是胜利”时，警察的职责已从“破案”升华为“救人”。#央视评利剑玫瑰# →戳 ...全文 https://m.weibo.cn/detail/5197731951280485
纪云禾与鲛人系记忆,119672,100752,18920,16,29,[post 27376] “恰恰神兵”战鼓擂🥁🥁#与君初相识##恰似故人归# 火热收官！@Dear-迪丽热巴 @任嘉伦Allen 等主演共同叙写东方童话极致浪漫爱情，@驭鲛记之恰似故人归 再创热度新高，微博评分8.9，长短剧评抵御外站注水低分舆情。热度与口碑并行，揭秘驭灵传奇微博流行密码。现揪5位恰恰神兵，随机送出主创签名、 ...全文 https://m.weibo.cn/detail/4763931597603103 || [post 19915] #迪丽热巴水晶缀饰礼服#即使已经见过美女@Dear-迪丽热巴 的N种风格，👖也还是会发出第亿次感慨：女娲的所有耐心都用来雕刻热巴的神颜了吧！身穿水晶缀饰礼服，光影变幻间，是见一次心动一次的美貌 诚邀友友一起来酷家《与君初相识·恰似故人归》《三生三世十里桃花》《烈火如歌》、纪录 ...全文 https://m.weibo.cn/detail/4875259319158377 || [post 12414] #与君初相识##恰似故人归# 酷酷子👖带着惊喜福利来啦 🦊仙友专属 万花谷限定之礼！先到先得！ 🦊一键预约 即日起至4月1日17:00，邀好友看片，即有机会预约纪云禾@Dear-迪丽热巴 专属来电！ 🦊静待“禾”音 预约成功者将在4月1日18点后get惊喜 具体活动信息戳图⬇️各位仙友 ...全文 https://m.weibo.cn/detail/4753183861901623 || [post 8936] #迪丽热巴演的纪云禾是钓鱼高手吧# 小红砖这时候也要同框见证「美」一瞬以后看见小红砖就代表高能预警啦！跟小红砖一块追代言人@Dear-迪丽热巴 的剧拿宠粉礼吧#迪丽热巴与君初相识# 首轮「一块追剧」宠粉礼今天开奖，记得带#与君一块邂逅美好# 参与喔，传送门→ 网页链接 ...全文 https://m.weibo.cn/detail/4748323812805538 || [post 7504] #迪丽热巴首位破3000w点赞女明星#这三千万里面有我很多份！一路走来，爱巴巴@Dear-迪丽热巴 不止三千万遍！炫耀一下合照，我和巴巴一直是双向奔赴！来看👖家巴巴好作品，一起双向奔赴👉《安乐传》《与君初相识·恰似故人归》《烈火如歌》《秦时丽人明月心》《三生三世十里桃花》《远山的呼唤》 等！ https://m.weibo.cn/detail/5015832536549017
跑男时期综艺记忆,113028,111411,1617,103,6,[post 44070] #迪丽热巴跑男只录了12天#哦莫，我还是第一次知道迪丽热巴当初《奔跑吧》只录了12天！ 谁能想到这就给观众们留下这么深刻的印象，没有不爱上跑男迪的义务#奔跑吧##春日心动放映季# 娱乐榜姐的微博视频 https://m.weibo.cn/detail/5291981527845904 || [post 6455] #迪丽热巴跑男只录了12天#真的假的?居然只录制12天吗？我以为她当时是一直都在的。 https://m.weibo.cn/detail/5292004666769898 || [post 4813] 白鹿、孟子义、宋雨琦、迪丽热巴、Angelbaby，跑男常驻女MC你最喜欢谁？ https://m.weibo.cn/detail/5292679061833365 || [post 4803] #迪丽热巴跑男只录了12天# 录了12天，被骂了9年 迪迪坨，向前走不回头 https://m.weibo.cn/detail/5292005496196952 || [post 4563] #迪丽热巴跑男只录了12天# 只录了跑男12天就 大 爆 成 民 选 女 顶 流 天 生 红 人 命 罢 了 未来很久都不会出这种顶级女艺人了 喜欢上她就是一件很容易的事 我就是从不喜欢转到喜欢的，她个人魅力真的很强 https://m.weibo.cn/detail/5291989411038002
珠宝腕表品牌大片/MIKIMOTO,72009,71951,58,21,6,[post 38632] Once Upon D Bag… 椭圆吊坠、一纸随手写就的诗意、从古典画中走出的缪斯……翻转Dior Medallion手袋的椭圆徽章，迪丽热巴的包藏戏梦正待上演。 ELLE的微博视频 https://m.weibo.cn/detail/5291562235857627 || [post 20896] 迪丽热巴✖️MIKIMOTO🤍 https://m.weibo.cn/detail/5289136326183776 || [post 5260] MIKIMOTO🎞 https://m.weibo.cn/detail/5288723208209216 || [post 1546] 迪丽热巴MIKIMOTO御木本大屏地广，每一帧都是视觉的享受，太高级了😎 #迪丽热巴和素人合影# 搞到顶流明星了的微博视频 https://m.weibo.cn/detail/5293711543766305 || [post 1532] 好可爱 热巴昨天迪奥活动展示手袋新物料 好漂亮的公主 #迪丽热巴金刚发型##迪丽热巴迪奥南京活动人气##迪丽热巴# Absinthea的微博视频 https://m.weibo.cn/detail/5292998219006417
我很好能做任何事/坚韧发言记忆,70643,66925,3718,16,4,[post 58412] 迪丽热巴：我很好 能做任何事 谁懂这句话的含金量 https://m.weibo.cn/detail/4968447574282408 || [post 7438] 迪丽热巴：“我很好，我能做任何事” 看花儿与少年对迪丽热巴增加了好感 https://m.weibo.cn/detail/4969430352661177 || [comment 2914] 愿意花💰的10w人头，谁懂这个含金量 https://m.weibo.cn/detail/5069397472841040 || [post 968] 迪丽热巴轻轻一出手，近24小时在榜时长5天的含金量☝们中雕明珠美得好权威 #迪丽热巴金刚发型# https://m.weibo.cn/detail/5292991489248486 || [comment 682] “我一定会加油的！”→“我很好 我可以做任何事”好自信好有活力的宝宝 https://m.weibo.cn/detail/4968447574282408
李长歌与长歌行记忆,66049,37755,28294,24,5,[comment 26862] 宝贝 评论区有很多 长歌、云禾、慧珍、妍妍、思慕…谢谢你演绎、塑造完整的她们 你记得、我们记得、观众记得、她们也记得 我无比肯定、支持与期待你的每一个选择你所做的一切 愿你拥有沉浸享受的过程和让你眉眼弯弯的结果 你可以同时拥有一切 我 贺你 思你 慕你 https://m.weibo.cn/detail/5291284362431311 || [post 9868] #长歌阿隼对视拥抱##长歌行# 哇偶，今天又是为“歌隼”爱情欢呼的一天。哈哈哈，真的被迪丽热巴和吴磊的幕后花絮笑到啦，没想到我们英勇无畏的阿隼竟然也会害羞啊，看着吴磊弟弟和热巴拥抱害羞的表情，真的莫名被甜到了。 正所谓双向奔赴，默默守护，这样的男女主感情戏真可谓是羡煞旁人了！屏幕前的你 ...全文 https://m.weibo.cn/detail/4627398991547003 || [post 8098] #迪丽热巴李佳琦直播# 又见迪丽热巴的黑长直，玫红色毛衣+玫红色皮裙吧，热爱是真的，双向奔赴的，期待李长歌早日上线 娱乐扒皮的微博视频 https://m.weibo.cn/detail/4611852481593946 || [post 6334] 是长歌行里的涉尔，全世界最好的迪丽热巴 https://m.weibo.cn/detail/5280445420013457 || [post 3844] 李长歌这个角色其实会让我一直对迪丽热巴有滤镜…长歌行让我对吴磊也有隼的滤镜 我们歌隼真的 从头到尾双向奔赴 没有俗套情节 就算是在不同立场也都是在为了百姓为了天下的清明 鸟蛋长情 长歌行剧粉长情不是没有道理的 长歌行值得 https://m.weibo.cn/detail/4926011303003557
新疆舞与舞台表现,43636,39150,4486,24,8,[post 9216] #跳起舞就像换了个人#【转存！#谁的舞台让人反复拉进度条#】今天是世界舞蹈日，一起重温经典舞台↓↓愿你随心而舞，向阳而行！ @卡布叻_周深 @Dear-迪丽热巴 @王一博·YIBO @郭富城 @刘雨昕 @TFBOYS-易烊千玺 @刘宇Yu_ @刘浩存 https://m.weibo.cn/detail/5293105144135812 || [post 8442] 【#迪丽热巴与家乡的双向奔赴#】#大美新疆邀大家枭洒走一回#新疆的石榴花，这一次家乡与你@Dear-迪丽热巴 实现了双向奔赴！#新疆的电视台有迪丽热巴专栏# 喀什博物馆里有你的春晚舞台照，家乡更是把你称为“闪亮的新疆名片”……尽情感受家乡人的宠爱吧~迪丽热巴 https://m.weibo.cn/detail/5239910778798979 || [post 4590] 艾嘛，不行了 嘿子怕不是在反向安利吧 因为这个视频 我就跑去考古热巴跳舞了，爱惨了… https://m.weibo.cn/detail/5293162845178918 || [post 3645] 迪丽热巴跳舞好萌啊啊啊 一块小猫吐司的微博视频 https://m.weibo.cn/detail/5281053599077245 || [post 3255] 巴粉今天很开心，某些蹲在阴沟里的小米奇就别在挑挑捡捡逐帧分析逐帧p图了，跳梁小丑一样的，都没空搭理。迪丽热巴今天不仅美死了还玩得很开心，又是台词又是唱歌又是跳舞又是链子又是超A女王又是贺小小，巴粉今天超级幸福，尖叫声就没断过 https://m.weibo.cn/detail/5282938899927127
白凤九与三生三世记忆,14032,12053,1979,12,6,[post 5689] #适配的妆造对角色加成有多大# @Dear-迪丽热巴 在《三生三世》系列里可以是单纯可爱的凤九小殿下，也可以下凡历劫成为温婉大气的淑妃，最后蜕变成了气场全开的青丘帝姬。每一个身份都有着独特的妆造印记，形成了不同的角色性格。cr.们爱丽丝 #初夏能量站# 央视网文娱的微博视频 https://m.weibo.cn/detail/4905301876670628 || [post 1734] «偏偏»10位爱丽丝大合唱版 ——电视剧«三生三世枕上书»开播五周年纪念 ☁️音乐：网页链接 四海安然，佛铃花落，天海澄碧 悠悠三世一梦黄粱去 是灵动音容，是耳边软语 是剑头生花，是血雨淋漓 纵使兰若梦破，苍生归定 却仍心愉一侧，甘心魂离 天地六合皆于指掌间，流转未息 而心动，偏偏 ...全文 https://m.weibo.cn/detail/5125585204676679 || [post 1719] #迪丽热巴眼技#真的很心疼迪丽热巴的黑粉，演技演技没得说，颜值颜值喷不了，人家得过奖，就是实打实的，出圈的咋没有，你好李慧珍，麻辣变形计，三生三世枕上书，利剑玫瑰，你是我的荣耀，还要喷啥，我记得高雯语录也很出圈吧，第一次看跑男一眼就看上她了，敬业程度在内娱也是排的上号的，宠粉也是真 ...全文 https://m.weibo.cn/detail/5280203658231991 || [comment 876] 高雯八百万粉丝等着共进晚餐，李长歌修了两只兔子，任安乐大理寺见了两位官员，阿娜尔罕首播是2015年，白凤九三生石上刻东华帝君的名字，安旎拿白棋，破八千万是2023年8月8号，你好星期六猜词猜到你是人质，老有所依，创造营是发起人身份，热爱举行时间是六月一号 https://m.weibo.cn/detail/4932556111743050 || [post 782] 我全按照百度百科资料说的，造yao啥了…… 鹿晗当时不是男顶流吗？热巴当时不是凭三生三世火吗？ https://m.weibo.cn/detail/5290934608595399
安旎与公诉记忆,9224,8952,272,11,1,[post 2960] #迪丽热巴真发了100多张自拍# #公诉全员兑现flag#@Dear-迪丽热巴 可太懂我们想看什么了吧！《公诉》全员接力兑现弹幕flag，真实力宠粉！100张自拍真的能爱很久！今晚接着去鹅家追《公诉》了，安旎检察官请“诉诉”破案！想看！ https://m.weibo.cn/detail/4913346379780124 || [post 1704] #迪丽热巴私服#巴姐没有做错任何事 巴姐只是随随便便发个照片不小心秒了一众普女 不过是巴姐过生日和粉丝双向奔赴罢了 PS：明天欢迎收看美女检察官安旎的公诉 https://m.weibo.cn/detail/4906464236278484 || [post 1313] 热爱是双向奔赴的🫶🏻热巴@Dear-迪丽热巴 新剧《公诉》正在播出，内容超敢拍，剧情超精彩，每晚更新，一起看安旎吧 #迪丽热巴的机场穿搭# ｜#迪丽热巴佟大为高燃时刻# 嘉行迪丽热巴工作室的微博视频 https://m.weibo.cn/detail/4912101287791743 || [post 1270] 【爱丽丝三月行程图】新鲜出炉，动态多多，机会多多，本月能见到新鲜巴宝咯～@Dear-迪丽热巴 本月你最期待的行程是？ #迪丽热巴公诉精英# dlrb#迪丽热巴安旎# https://m.weibo.cn/detail/4874413030246609 || [post 914] 🚝爱丽丝云游攻略——上海站 元旦假期的最后一天，美宣来给大家送上一份游玩小攻略迪迪vlog里有哪些可以get的同款呢？一起来看看吧 @Dear-迪丽热巴 #迪丽热巴公诉精英# dlrb#迪丽热巴安旎# https://m.weibo.cn/detail/4853394520411263
