year,school_year,area,primary_admissions,junior_high_admissions,senior_high_admissions,unit,definition,source_agency,source_index_url,primary_source_url,middle_source_url,primary_locator,junior_locator,senior_locator,confidence
2017,2017-2018,西城区,15050,10181,6596,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709335.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109402453540600.xlsx,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109402453449184.xlsx,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2017,2017-2018,朝阳区,24570,14290,4430,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709335.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109402453540600.xlsx,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109402453449184.xlsx,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2018,2018-2019,北京市,184339,100984,47355,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709334.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109405505467440.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109405505375686.xls,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2018,2018-2019,西城区,18328,10119,5697,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709334.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109405505467440.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109405505375686.xls,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2018,2018-2019,朝阳区,28505,13693,3745,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709334.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109405505467440.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200109405505375686.xls,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2019,2019-2020,北京市,182873,117398,51403,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709332.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200324582920923290.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200324582920890909.xls,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2019,2019-2020,西城区,18623,12513,6120,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709332.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200324582920923290.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200324582920890909.xls,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
2019,2019-2020,朝阳区,28305,16618,4206,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/t20200325_2709332.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200324582920923290.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202003/P020200324582920890909.xls,小学分区学生基本情况/朝阳区/招生数,普通中学分区学生基本情况/朝阳区/初中招生数,普通中学分区学生基本情况/朝阳区/高中招生数,A
2020,2020-2021,北京市,202157,122123,61071,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202103/t20210325_2709330.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202103/P020210325366726237609.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202103/P020210325366726188039.xls,小学分区学生基本情况/总计/招生数,普通中学分区学生基本情况/总计/初中招生数,普通中学分区学生基本情况/总计/高中招生数,A
2020,2020-2021,西城区,21066,12984,7930,人,北京市教委教育事业统计中的招生数；初中和高中为普通中学口径,北京市教育委员会,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202103/t20210325_2709330.html,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202103/P020210325366726237609.xls,https://jw.beijing.gov.cn/xxgk/shujufab/tongjigaikuang/202103/P020210325366726188039.xls,小学分区学生基本情况/西城区/招生数,普通中学分区学生基本情况/西城区/初中招生数,普通中学分区学生基本情况/西城区/高中招生数,A
