up主名字,主要知识领域,总权重,提及次数,回答提及数,评论提及数,正向/推荐,负向/避雷,中性/提及,代表点评,来源URL样例
小高姐的魔法调料,综合知识/泛科普,102305,2,2,0,0,0,2,4）小高姐的魔法调料 小高姐的美食制作视频非常实用，因为老家是陕西人，所以她的教程里涉及到很多面食类的教程。另外，还涉及很多小吃、小糕点！ 5）徐大sao,https://www.zhihu.com/question/291506148/answer/864438586
动画学术趴,综合知识/泛科普,101545,2,2,0,2,0,0,2）动画学术趴 专注分享精品短动画的UP主，更新非常勤快，目前在B站的投稿量已经999+。跟其他动漫UP主不同的是，这里面的大多数作品来自各大高校的毕设作品。如果你喜欢看这类动画小短片，不妨关注一下。,https://www.zhihu.com/question/291506148/answer/864438586
科技美学,综合知识/泛科普,101457,2,2,0,2,0,0,4）科技美学 「科技美学」是一个数码UP主，目前在B站有近200万的粉丝量，主要对一些最新的数码产品进行测评，内容主涉及手机、平板、电脑等，比如现在刚发布的华为Mate30 Pro、小米9 Pro 5G等。如果你在入手前有疑惑，不妨来看看专业人士的测评咯~,https://www.zhihu.com/question/291506148/answer/864438586
小圆脸Paprika,综合知识/泛科普,99616,4,4,0,3,0,1,7.小圆脸Paprika 一个读书类的UP主。 读万卷书，行万里路。如果你也是一个喜欢读书的人，不妨来看看这个小姐姐分享给你的书单。 她每个月都会做读书报告、书单安利，看完她的视频，除了想马上拿一本书抱着啃，其他啥也不会想。,https://www.zhihu.com/question/265883810/answer/976227155
李大颖,科普/自然科学,98685,6,6,0,0,0,6,欢迎大家关注我的知乎号 @李大颖 ，浏览主页。还可以获得更有优质内容哦~,https://www.zhihu.com/question/265883810/answer/976227155
TED精选演讲,综合知识/泛科普,98371,2,2,0,1,0,1,02：TED精选演讲 精选了TED上的部分演讲视频，内容都是中英对照。 代表作： 《只要20小时，你就能学会任何事情》,https://www.zhihu.com/question/291506148/answer/864438586
黑马程序员,计算机/编程,97666,24,20,4,4,1,19,逗比的雀巢：年度黑马之一，配音系列可以说是我的快乐源泉了。实至名归,https://www.zhihu.com/question/438840235/answer/1672129735
优设基础训练营,综合知识/泛科普,96704,3,3,0,2,0,1,5） 优设基础训练营 优设目前在B站发布的视频多达600+，内容涉及PS、AE、Pr、C4D、手绘等。 相比于doyoudo和Oeasy，优设既会对软件基本操作进行讲解，也会列举大量实际操作场景。想学软件的话，这里是个不错的选择哟~,https://www.zhihu.com/question/283049200/answer/813486705
机智的党妹,综合知识/泛科普,95793,6,6,0,4,0,2,11.机智的党妹 一个被美妆耽误了的相声界UP主。 宝藏女孩，我实在找不到词来夸赞！也是一个非常努力的UP主，为了给大家带来优质内容，报班上课，化妆技术突飞猛进。 刚关注的时候，她的头发还很茂密。现在，她秃了，也强了。,https://www.zhihu.com/question/265883810/answer/976227155
大宽物理,综合知识/泛科普,95125,2,1,1,1,0,1,05：大宽物理 一位专攻高中物理的UP主。 06：猴博士爱讲课,https://www.zhihu.com/question/291506148/answer/864438586
一席精选,综合知识/泛科普,95125,1,1,0,0,0,1,01：一席精选 一席是一个专注演讲分享的UP主。 听君一席话，胜读十年书。如果从方便理解的角度讲，你可以把一席理解为中国人自己的TED。它经常会邀请各界名人来做分享，且每期分享都配有完整的文字稿，这是非常难得的地方。,https://www.zhihu.com/question/291506148/answer/864438586
人人短视频精选,综合知识/泛科普,95125,1,1,0,1,0,0,1）人人短视频精选 一个专注短视频搬运的B站UP主，内容以动画类为主，时长一般控制在10分钟之内。在这里你能看到很多国内外优秀的动画短片，以及部分创意十足的广告等。 2）动画学术趴,https://www.zhihu.com/question/291506148/answer/864438586
何止电影,综合知识/泛科普,95125,1,1,0,1,0,0,4）何止电影 何止电影在选片的时候，并不会追逐热点电影来吸引眼球，反而经常会挑一些冷门内容进行解读。如果你剧荒，在这也许能淘到不少好片子。 5）虫哥说电影,https://www.zhihu.com/question/291506148/answer/864438586
动画少数派,综合知识/泛科普,95125,1,1,0,0,0,1,3）动画少数派 动画少数派上传的内容中有不少讽刺、恶搞类的动画短片，尤其是「HISHE系列」的搬运视频，充满黑色幽默和脑洞。 纪录片资源 01：哔哩哔哩纪录片,https://www.zhihu.com/question/291506148/answer/864438586
华农兄弟,综合知识/泛科普,95125,1,1,0,1,0,0,1）华农兄弟 “华农一笑，生死难料”、“山上有火，所里有我”，看华农兄弟的视频，你一定要打开弹幕，类似这样的金句会频繁刷到，只能说网友们实在是太有才了！另外，在视频里你能看到华农兄弟吃动物的一千种理由：“这只竹鼠长得太丑”、“这只鸡淋了雨，可能会生病”、“这只香猪老喜欢打架”……最后的统一结局就是：只好把它烤（炖）了。,https://www.zhihu.com/question/291506148/answer/864438586
大漠叔叔,综合知识/泛科普,95125,1,1,0,1,0,0,2）大漠叔叔 大漠叔叔真实的身份是一位海南警察，所以在他的视频里你经常能看到一些跟警务相关的科普内容，但风格一点儿也不严肃刻板，反而充满了诙谐与幽默，所以看起来自然也不会觉得是在说教。 3）老师好我叫何同学,https://www.zhihu.com/question/291506148/answer/864438586
就是气气,综合知识/泛科普,95125,1,1,0,0,0,1,6）就是气气 类似徐大sao，这也是一位大食量的吃播UP主。说到吃播，其实很容易联想到“催吐”，但「就是气气」的视频看着就会真实很多，内容不会特别夸张，相信这也是很多人关注她的理由之一吧。 精选短视频,https://www.zhihu.com/question/291506148/answer/864438586
废宅少女日常,综合知识/泛科普,95125,1,1,0,0,0,1,03：废宅少女日常 其他类别 1）非正式会谈,https://www.zhihu.com/question/291506148/answer/864438586
真·凤舞九天,综合知识/泛科普,95125,1,1,0,0,0,1,09：真·凤舞九天 一位化学科普UP主，带你认识神奇的化学世界。 代表作： 《疯狂化学2：元素奇迹》 美食达人,https://www.zhihu.com/question/291506148/answer/864438586
美食台,综合知识/泛科普,95125,1,1,0,1,0,0,2）美食台 相信很多人关注过「一条」的公众号吧，其特色就是原创短视频制作，美食台也是他们旗下的一个账号。 视频制作精良，非常专业，看他们做饭你会觉得是一种享受，有想亲自动手的欲望，不过有的时候会因为太过精致，让人感觉缺少一些烟火气。,https://www.zhihu.com/question/291506148/answer/864438586
胥渡吧,综合知识/泛科普,95125,1,1,0,1,0,0,3）胥渡吧 胥渡吧就不用过多介绍了，他们的模仿视频相信很多人在微博或者其他地方都看过，其实他们在B站也有入驻。如果你喜欢看他们的视频，那不妨来B站一次性看个够！ 4）何止电影,https://www.zhihu.com/question/291506148/answer/864438586
虫哥说电影,综合知识/泛科普,95125,1,1,0,1,0,0,5）虫哥说电影 虽然UP主的名字是虫哥说电影，但是视频内容也会包括一些电视剧。虫哥讲解风格比较幽默搞怪，视频也是以娱乐、搞笑为主，看着乐呵乐呵，解解压还是蛮好的。 6）刘老师说电影,https://www.zhihu.com/question/291506148/answer/864438586
表象的本质,综合知识/泛科普,95125,1,1,0,0,0,1,03：表象的本质 经常科普一些物理、化学方面的知识。 04：混乱博物馆,https://www.zhihu.com/question/291506148/answer/864438586
非正式会谈,综合知识/泛科普,95125,1,1,0,1,0,0,1）非正式会谈 《非正式会谈》是一档「国际范儿」的文化访谈节目，每一期有11位来自各个国家的青年和四位补刀专业户：大左、杨迪、陈铭、陈超，在各种欢声笑语中对一些热门话题或者当下青年所关心的话题展开讨论。,https://www.zhihu.com/question/291506148/answer/864438586
是你们的康康,综合知识/泛科普,94396,3,3,0,2,0,1,4. 是你们的康康 —— 学习方法推荐UP主 5. 宋浩老师官方 —— 想要数学不挂科？找宋浩老师！ —— 2020.5.19 —— 发现喜欢在B站学习的人好多啊！今天就给大家送一份私家珍藏吧，我有搜集 200+的B站UP主名 单。,https://www.zhihu.com/question/292372507/answer/802318758
Kurzgesagt,科普/自然科学,94109,3,2,1,0,0,3,12、Kurzgesagt,https://www.zhihu.com/question/20396961/answer/683102014
暮秋君,生物/医学健康,90077,1,1,0,0,0,1,我是 @暮秋君,https://www.zhihu.com/question/35569842/answer/1012175647
食用指南,语言/英语,83824,26,26,0,17,3,6,食用指南： 英语、学习法、声控。 还有，杰俊小哥哥的BGM也很符合我的口味...... 一句话来说，这是个声音好听、干货有用、剪辑超棒的美男up主 ，笔芯~ 2.Maggie不是麦鸡（阳光笑容的温暖女孩） 一个充满正能量的阳光up主。,https://www.zhihu.com/question/292372507/answer/874294702
Crash Course,学习/考试,81276,7,7,0,1,0,6,昨晚看到同问题下那个答Crash Course的回答上4k赞了，又不服气又有点小委屈，,https://www.zhihu.com/question/265883810/answer/990584633
地球脉动,科普/自然科学,80589,3,3,0,0,3,0,地球脉动：第1集 南极北极 地球脉动：第2集 山脉 地球脉动：第3集 淡水 迷恋自己的身体 世界上最繁忙的的城市 第1集 香港,https://www.zhihu.com/question/292372507/answer/797795820
还有这个双氧水的催化反应实验,语言/英语,75467,1,1,0,0,1,0,还有这个双氧水的催化反应实验： 类型2：语言学习类 语言学习类 1）A路人,https://www.zhihu.com/question/292372507/answer/802318758
伊丽莎白鼠,历史/军事,74897,9,9,0,1,0,8,15、伊丽莎白鼠,https://www.zhihu.com/question/291506148/answer/865870707
稚嫩的魔法师,历史/军事,73835,16,11,5,4,2,10,估计我个人游戏区比较喜欢的“稚嫩的魔法师”“Gamker”“谜之秃”或者更小众一些的“疯猫Madcatclan”“就地十八滚”等等，因为硬指标粉丝数量不够，有生之年他们应该是成不了百大了哈哈。,https://www.zhihu.com/question/365100571/answer/966921907
小约翰可汗,历史/军事,73517,41,12,29,6,3,32,好了，看完目录你基本上对这个话题已经有了非常清晰的大纲和框架了，如果只是自己想了解，剩下的就交给维基百科和百度百科解决就好了；如果是要做科普，只需要在抄网上科普的时候注意一下是否有靠谱来源就好了。王骁和小约翰可汗都曾经犯过一些低级错误，也从侧面说明他们的资料肯定不全是看著作得来的，大概率就是查百度翻车了的（并不是说这样不好，相反，这才是正常人获取非学术性知识科普的途径，没有人是碰到一个感兴趣的话题就去啃几个月大部头外语著作的，快速获取…,https://www.zhihu.com/question/521163320/answer/2919330433
秋叶PPT,综合知识/泛科普,66022,2,2,0,1,0,1,啊，先推荐这一波~ 喜欢我的小伙伴记得 关注 @秋叶PPT ，不定期送上优质的职场技能干货,https://www.zhihu.com/question/265883810/answer/976098338
小Lin说,财经/商业,65746,33,10,23,10,7,16,一个是小lin的剪辑团队在“降本增效”，可能是他们认为现在的程度已经够了不需要提升预算到更高水平了。,https://www.zhihu.com/question/537496812/answer/1907966309989356230
毛茸茸的星球,综合知识/泛科普,65464,3,3,0,2,0,1,10.毛茸茸的星球 毛茸茸的星球 感谢知友 @柒子白qwq 的安利~ 这是一位动物科普类up，画风独特又可爱！ 内容也很棒，有趣还能涨姿势，真的是墙裂推荐！ 快去看呀看呀看呀，错过要后悔哦~~,https://www.zhihu.com/question/291506148/answer/884690034
键客行,综合知识/泛科普,64657,2,2,0,1,0,1,8.键客行 键客行 这位up也是干货科普类的~也是评论区的小伙伴推荐的，而且还不止一位推荐哈哈~ 视频内容也很涨姿势哦~ 就是up很久没更新了，嗯，一年没更新。也许忘记账号密码了……但原有的也够看一阵子啦嘻嘻~~,https://www.zhihu.com/question/291506148/answer/884690034
五金少女,科普/自然科学,61688,2,2,0,0,2,0,4.五金少女 一个非常有实力的UP主。 她会教你怎么用最少的钱打造出最好看，舒适的家！非常适合在校学生和租房子的小伙伴们！ 看完她的视频，我觉得我精心搞的小卧室就是个小垃圾。 二、读书学习,https://www.zhihu.com/question/265883810/answer/976227155
一数,数学/物理,60670,27,10,17,7,1,19,高中数学-高一-高二-高三【高考数学专题复习】-【高考数学一轮复习】-【基础篇+提高篇】-【高中数学必修专题复习】-【高中数学选修专题复习】-高一数学-高二数学_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,https://www.zhihu.com/question/376032562/answer/1055161846
HAI000,综合知识/泛科普,60091,1,1,0,0,0,1,欢迎大家关注我的知乎号 @HAI000 ，浏览主页，还可以获取更多高效神器哦~,https://www.zhihu.com/question/35569842/answer/782949366
PPT狂想曲,综合知识/泛科普,60091,1,1,0,1,0,0,7、PPT狂想曲 没错，自己捧自己！ 本人这个账号专注分享软件和PPT知识干货。 磁盘分区、解压神器、高效工具、超好用的视频播放器……每个视频都很用心。 这样夸自己好像还有些害羞~,https://www.zhihu.com/question/35569842/answer/782949366
万能,综合知识/泛科普,60091,1,1,0,1,0,0,二、万能UP主 安利一些我自己常看的up主，打开B站先看看他们更新没！ 1、李永乐老师 一个非常有趣的物理up主。 他讲的课程，都会用一个有趣的问题作为引子，然后讲解一下原理规律，比如：,https://www.zhihu.com/question/35569842/answer/782949366
交通事故video,综合知识/泛科普,60091,1,1,0,0,0,1,5、交通事故video 一个用真实案例让你学习道路安全知识的up主。 每天上传最新的车祸实例，帮你提高安全意识。up主收集全国各地交通事故素材，剪辑成短视频合集。弹幕上会显示事故发生原因，责任又是因为谁。,https://www.zhihu.com/question/35569842/answer/782949366
官方排行榜,综合知识/泛科普,60091,1,1,0,1,0,0,3、官方排行榜 每日热榜，最新动态都在这里了！ 与知乎热榜、微博热榜类似，B站也有自己的「每日热榜」： 里面有很多分类，与首页保持一致。 而我比较喜欢科技类的视频，就可以打开科技榜单：,https://www.zhihu.com/question/35569842/answer/782949366
我在故宫给修文物,综合知识/泛科普,60091,1,1,0,0,0,1,3、我在故宫给修文物 一部拍摄故宫稀世文物修复故事的大型纪录片。 这部纪录片，用年轻的视角，到我们走进古老的世界。文物医生们，展现了他们顶级的文物“复活”技术！ 文中所有的B站UP主的链接，我都为你整合到一个 导航栏 里啦：,https://www.zhihu.com/question/35569842/answer/782949366
